,Player,Runs,Wickets,Age,Batting Skill,Bowling Skill,Country,Type
233,VRV Singh,4,12,34,Right_Hand,Right-arm medium-fast,India,Other
234,BB Sran,4,14,26,Left_Hand,Left-arm medium,India,Other
235,DP Nannes,4,28,42,Right_Hand,Left-arm fast,Australia,Bowler
236,FH Edwards,4,5,37,Right_Hand,Right-arm fast,West Indies,Other
237,A Chandila,4,11,35,Right_Hand,Right-arm offbreak,India,Other
238,B Laughlin,4,1,36,Right_Hand,Right-arm fast-medium,Australia,Other
239,CRD Fernando,4,17,39,Right_Hand,Right-arm fast-medium,Sri Lanka,Other
240,JE Taylor,3,6,34,Right_Hand,Right-arm fast,New Zealand,Other
241,CJ Jordan,3,12,30,Right_Hand,Right-arm fast-medium,England,Other
242,R Ninan,3,3,33,Right_Hand,Right-arm offbreak,India,Other
243,Mohammad Asif,3,8,36,Left_Hand,Right-arm fast-medium,Pakistan,Other
244,D Kalyankrishna,3,2,35,Right_Hand,Right-arm medium-fast,India,Other
245,S Tyagi,3,6,31,Right_Hand,Right-arm medium,India,Other
246,Kamran Khan,3,10,27,Left_Hand,Left-arm medium-fast,India,Other
247,BAW Mendis,3,8,33,Right_Hand,Right-arm offbreak,Sri Lanka,Other
248,A Singh,2,28,37,Right_Hand,Right-arm medium-fast,India,Bowler
249,SB Wagh,2,5,30,Left_Hand,Left-arm medium-fast,India,Other
250,KP Appanna,2,9,30,Right_Hand,Slow left-arm orthodox,India,Other
251,S Randiv,2,6,34,Right_Hand,Right-arm offbreak,Sri Lanka,Other
252,RG More,2,1,27,Right_Hand,Right-arm medium,India,Other
253,Shoaib Akhtar,2,5,43,Right_Hand,Right-arm fast,Pakistan,Other
254,M de Lange,1,5,28,Right_Hand,Right-arm fast,South Africa,Other
255,DJ Muthuswami,1,4,37,Right_Hand,Right-arm medium,India,Other
256,SE Bond,1,9,43,Right_Hand,Right-arm fast,New Zealand,Other
257,P Parameswaran,1,9,33,Right_Hand,Left-arm medium,India,Other
258,DP Vijaykumar,1,4,32,Right_Hand,Right-arm medium,India,Other
259,PM Sarvesh Kumar,1,1,29,Right_Hand,Right-arm medium,India,Other
260,Shoaib Ahmed,1,5,28,Right_Hand,Right-arm fast-medium,Pakistan,Other
261,BE Hendricks,1,9,28,Left_Hand,Left-arm fast-medium,South Africa,Other
262,L Ablish,0,3,36,Right_Hand,Right-arm medium-fast,India,Other
263,C Nanda,0,2,39,Right_Hand,Legbreak,India,Other
264,YA Abdulla,0,15,36,Left_Hand,Left-arm fast-medium,India,Other
265,V Pratap Singh,0,10,26,Right_Hand,Right-arm medium,India,Other
266,M Ashwin,0,7,28,Right_Hand,Legbreak googly,India,Other
267,ND Doshi,0,2,40,Right_Hand,Slow left-arm orthodox,India,Other
268,IC Pandey,0,18,29,Right_Hand,Right-arm medium,India,Other
269,S Kaushik,0,6,23,Right_Hand,Slow left-arm chinaman,India,Other
270,S Ladda,0,5,32,Right_Hand,Legbreak,India,Other
